link,title,snippet,date,source,sentiment,sentiment_score
https://sbr.com.sg/news/keppel-dc-reit-obtains-728m-loan-facility,Keppel DC REIT obtains $72.8m loan facility,"Keppel DC REIT's subsidiary, Keppel DC REIT Fin. Company Private Limited obtained a $72.8m (EUR50m) loan facility on 18 March 2025.",2025-03-19,Singapore Business Review,neutral,0.517661452293396
https://www.theedgesingapore.com/news/reits/keppel-dc-reit-group-obtains-loan-facility-eur50-mil,Keppel DC REIT group obtains loan facility of EUR50 mil,"Keppel DC REIT group has obtained a loan facility of EUR50 million ($72.83 million) on March 18, according to a bourse filing.",2025-03-18,The Edge Singapore,neutral,0.6525894403457642
https://thesmartinvestor.com.sg/5-potential-singapore-blue-chip-stocks-that-pay-a-dividend-for-2025/,5 Potential Singapore Blue-Chip Stocks that Pay a Dividend for 2025,Looking for up-and-coming blue-chip stocks? Here are five that also pay a dividend.,2025-03-14,The Smart Investor,neutral,0.9382368922233582
https://www.tipranks.com/news/company-announcements/keppel-dc-reit-secures-eur-50-million-loan-facility,Keppel DC REIT Secures EUR 50 Million Loan Facility,"Keppel DC REIT ( ($SG:AJBU) ) has shared an announcement. Keppel DC REIT has announced that its wholly-owned subsidiary, Keppel DC REIT Fin.",2025-03-18,TipRanks,positive,0.758176863193512
https://www.businesstimes.com.sg/companies-markets/stocks-watch-keppel-dc-reit-centurion-comfortdelgro-singpost-siaec-paragon-reit,"Stocks to watch: Keppel DC Reit, Centurion, ComfortDelGro, SingPost, SIAEC, Paragon Reit",The accommodation assets operator issued a profit guidance on Monday forecasting “a substantial increase” in net profit for FY2024.,2025-02-19,The Business Times,neutral,0.9457846879959106
https://www.theedgesingapore.com/capital/brokers-calls/time-switch-s-reits-says-cgsi-adding-keppel-dc-reit-uol-top-picks,"Time to switch into S-REITs, says CGSI, adding Keppel DC REIT, UOL to top picks","CGSI analysts are “more bullish” on REITS but stay “overweight” on capital goods, consumer, construction, gaming, technology, gloves,...",2025-03-14,The Edge Singapore,neutral,0.8560568690299988
https://www.straitstimes.com/business/keppel-dc-reit-jumps-on-proposal-to-buy-two-spore-data-centres-from-sponsor-keppel-corp,Keppel DC Reit jumps on proposal to buy two S’pore data centres from sponsor Keppel Corp,Keppel DC Reit jumps on proposal to buy two S'pore data centres from sponsor Keppel Corp ... SINGAPORE - Units of Singapore-listed Keppel DC Reit...,2024-11-20,The Straits Times,positive,0.5466477870941162
https://www.mingtiandi.com/real-estate/data-centres/keppel-dc-reit-sells-german-data-centre-at-39-markdown/,Keppel DC REIT Unloads German Data Centre at 39% Off 2019 Acquisition Price,"Last month, Keppel DC REIT reported a 6.3 percent rise in its net property income to S$260.3 million despite a 37.9 percent rise in its property...",2025-02-19,Mingtiandi,neutral,0.6857543587684631
https://www.reuters.com/markets/deals/keppel-dc-reit-secures-full-ownership-key-data-centres-singapore-2024-11-19/,Keppel DC REIT secures full ownership of key data centres in Singapore,Singapore's Keppel will spin off its data centre joint venture (JV) to unit Keppel DC REIT for a total gross divestment price of S$1.38...,2024-11-19,Reuters,positive,0.7848474979400635
https://www.datacenterdynamics.com/en/news/keppel-sells-data-center-in-frankfurt-germany-for-50m/,"Keppel sells data center in Frankfurt, Germany, for €50m",Keppel sells Kelsterbach data center – Keppel DC REIT. The all-cash deal was valued at €50 million ($52.4m) and expected to close in the first half of 2025.,2025-02-19,Data Center Dynamics,neutral,0.9280909895896912
https://thesmartinvestor.com.sg/4-singapore-data-centre-reits-that-should-benefit-from-the-ai-investment-boom/,4 Singapore Data Centre REITs That Should Benefit from the AI Investment Boom,"With demand for AI set to grow over the long term, here are four Singapore REITs that can provide you with exposure to this booming sector.",2025-02-19,The Smart Investor,positive,0.6410368084907532
https://www.businesstimes.com.sg/companies-markets/keppel-dc-reit-divests-german-data-centre-50-million-euros,Keppel DC Reit divests German data centre for 50 million euros,Keppel DC Reit divests German data centre for 50 million euros. The sale is expected to take place in the first half of 2025.,2025-02-19,The Business Times,neutral,0.8838076591491699
https://sbr.com.sg/stocks/news/keppel-dc-reit-issues-40-million-sponsor-subscription-units-209-each,Keppel DC REIT issues 40 million sponsor subscription units at $2.09 each,Keppel DC REIT issues 40 million sponsor subscription units at $2.09 each. The issuance is part of its equity fundraising initiative. Keppel DC...,2025-02-19,Singapore Business Review,neutral,0.9513252377510071
https://www.straitstimes.com/business/keppel-dc-reit-demands-91-million-late-payment-from-china-data-centre-tenant,Keppel DC Reit demands $9.1 million late payment from China data centre tenant,"Keppel DC Reit's wholly owned subsidiary in China, KDCR Guangdong, issued a letter of demand on Dec 15 to its tenant of three Guangdong data centres (DCs) to...",2024-11-11,The Straits Times,negative,0.5822078585624695
https://www.datacenterdynamics.com/en/news/keppel-looks-to-buy-two-singapore-facilities/,Keppel looks to buy two Singapore facilities,Keppel DC REIT this week announced the proposed acquisition of two hyperscale data centers at the Keppel Data Centre Campus in Singapore from a joint venture...,2024-11-19,Data Center Dynamics,neutral,0.872149646282196
https://thesmartinvestor.com.sg/keppel-dc-reit-announces-a-s1-4-billion-acquisition-5-things-that-income-investors-need-to-know/,Keppel DC REIT Announces a S$1.4 Billion Acquisition: 5 Things That Income Investors Need to Know,"The data centre REIT announced a major acquisition of two data centres in a S$1.4 billion transaction involving its sponsor, Keppel Ltd (SGX: BN4).",2024-11-21,The Smart Investor,neutral,0.9408112168312073
https://www.theedgesingapore.com/capital/brokers-calls/analysts-trim-keppel-dc-reits-fy2025-dpu-acquisitions-larger-unit-base-and,"Analysts trim Keppel DC REIT’s FY2025 DPU on acquisitions, larger unit base and Guangdong DC rental issues","In a Jan 27 note, DBS Group Research analysts Dale Lai and Derek Tan have kept their ""buy"" call with a higher target price of $2.50 from $2.20...",2025-02-19,The Edge Singapore,negative,0.831551730632782
https://www.businesstimes.com.sg/companies-markets/keppel-dc-reit-acquire-2-hyperscale-data-centres-sponsor-keppel-s1-4-billion,Keppel DC Reit to acquire 2 hyperscale data centres from sponsor Keppel for S$1.4 billion,"The proposed acquisition by Keppel DC Reit will expand its assets under management by 36 per cent to S$5.2 billion, with 25 data centres across Asia-Pacific...",2024-11-19,The Business Times,neutral,0.8920171856880188
https://sbr.com.sg/stocks/news/keppel-dc-reit-closes-preferential-offering-794-excess-applications,Keppel DC REIT closes preferential offering with 79.4% excess applications,Keppel DC REIT closes preferential offering with 79.4% excess applications. The REIT received 117.7 million excess applications. Keppel DC REIT...,2024-12-16,Singapore Business Review,neutral,0.8066313862800598
https://www.businesstimes.com.sg/companies-markets/stocks-watch-mapletree-pan-asia-commercial-trust-keppel-dc-reit-suntec-reit-esr-reit,"Stocks to watch: Mapletree Pan Asia Commercial Trust, Keppel DC Reit, Suntec Reit, ESR-Reit","The manager of Keppel DC Reit posted a distribution per unit of S$0.04902 for the second-half ended Dec 31, up 13.2% from S$0.04332 in the previous...",2025-02-19,The Business Times,neutral,0.9449314475059509
https://www.theasset.com/article/53502/keppel-dc-reit-launches-green-financing-framework,Keppel DC REIT launches green financing framework,Keppel DC REIT has launched its inaugural green financing framework to bolster its sustainability efforts and progress towards achieving its...,2025-02-26,The Asset,neutral,0.8267936110496521
https://www.businesstimes.com.sg/companies-markets/keppel-dc-reit-unveils-s1-billion-unit-placement-preferential-offer-fund-purchase-data-centres,"Keppel DC Reit unveils S$1-billion unit placement, preferential offer to fund purchase of data centres","Keppel DC Reit unveils S$1-billion unit placement, preferential offer to fund purchase of data centres · Keppel DC Reit to acquire 2 hyperscale...",2024-11-19,The Business Times,positive,0.5954359173774719
https://www.mingtiandi.com/real-estate/data-centres/keppel-jv-selling-two-singapore-data-centres-to-keppel-dc-reit-for-1b/,Keppel JV Selling Two Singapore Data Centres to Keppel DC REIT for $1B,Keppel JV Selling Two Singapore Data Centres to Keppel DC REIT for $1B ... A joint venture led by Keppel Ltd has agreed to sell two Singapore data...,2024-11-19,Mingtiandi,neutral,0.9266955852508545
https://www.businesstimes.com.sg/companies-markets/keppel-dc-reit-divest-malaysia-data-centre-rm55-6-million,Keppel DC Reit to divest Malaysia data centre for RM55.6 million,"Keppel DC Reit's share of the consideration paid by Basis Bay Services MSC is RM55.1 million, based on its 99 per cent shareholding in Basis Bay...",2025-01-02,The Business Times,neutral,0.9448538422584534
https://sg.news.yahoo.com/keppel-dc-reit-reports-slight-155353921.html,Keppel DC REIT reports slight increase in DPU for FY2024 due to Tokyo acquisition and strong reversions,"Keppel DC REIT has reported a distribution per unit (DPU) for FY2024 ended Dec 31 of 9.451 cents, a 0.7% y-o-y increase. DPU for the 2HFY2024...",2025-02-19,Yahoo News Singapore,positive,0.9425909519195557
https://www.theedgesingapore.com/news/reits/keppel-dc-reit-receives-794-excess-applications-preferential-offering,Keppel DC REIT receives 79.4% excess applications for preferential offering,"The manager adds that a total of 148,413,063 preferential offering units will be issued at the issue price of $2.03 per preferential offering...",2024-12-12,The Edge Singapore,neutral,0.7688909769058228
https://www.theedgesingapore.com/news/tech/keppel-dc-reit-sheltered-us-restrictions-impact-semiconductor-plays-still-early-days,Keppel DC REIT sheltered from US restrictions; impact on semiconductor plays still early days,"Loh Hwee Long, CEO of Keppel DC REIT's (KDC REIT) manager, said that his data centres in Singapore are likely to be largely unaffected by the restrictions...",2025-02-19,The Edge Singapore,negative,0.7448069453239441
https://thesmartinvestor.com.sg/3-beaten-down-sectors-to-search-for-bargain-stocks/,3 Beaten-Down Sectors to Search for Bargain Stocks,Some investors prefer to use a top-down approach to find suitable investment candidates. “Top-down” refers to the search for industries or...,2025-03-18,The Smart Investor,negative,0.769159197807312
https://www.dealstreetasia.com/stories/keppel-dc-reit-german-data-centre-430571,Keppel DC REIT to sell German data centre for $52m,"Keppel DC REIT, Asia's first pure-play data centre REIT, was listed on the Singapore Exchange on Dec. 12, 2014. It invests in income-generating...",2025-02-19,DealStreetAsia,neutral,0.9090098142623901
