link,title,snippet,date,source,sentiment,sentiment_score
https://www.mingtiandi.com/real-estate/finance/cvcs-siloam-makes-offer-for-first-reits-indonesia-hospitals/,CVC-Backed Hospital Chain Makes Offer for First REIT’s $599M in Indonesian Assets,A potential deal on the way to sell 14 Indonesian hospitals valued at S$820.5 million ($599.3 million) to its private equity-backed tenant.,2025-01-14,Mingtiandi,neutral,0.5326129794120789
https://www.theedgesingapore.com/billion-dollar-club/billion-dollar-club-2024/first-reit-outlines-blueprint-strategic-resilience,First REIT outlines blueprint for strategic resilience in dynamic healthcare sector,"“Operationally, First REIT's portfolio of high-quality healthcare properties continue to deliver sustainable performance in the first half of...",2024-11-14,The Edge Singapore,positive,0.6886177659034729
https://www.reuters.com/markets/asia/singapores-first-reit-approached-by-cvc-backed-healthcare-chain-indonesia-assets-2025-01-13/,Singapore's First REIT approached by CVC-backed healthcare chain for Indonesia assets,Singapore's First REIT ... FRET.SI ... said on Monday it had been approached by CVC Capital Partners-backed Indonesian healthcare chain Siloam...,2025-01-13,Reuters,neutral,0.7684955596923828
https://thesmartinvestor.com.sg/better-buy-first-reit-vs-parkway-life-reit/,Better Buy: First REIT Vs Parkway Life REIT,"Reviewing the two healthcare REITs, PLife REIT is the winner as it has a longer track record of uninterrupted core DPU growth stretching all the way back to...",2024-06-07,The Smart Investor,neutral,0.8137760758399963
https://www.businesstimes.com.sg/companies-markets/stocks-watch-singpost-first-reit-fu-yu-disa,"Stocks to watch: SingPost, First Reit, Fu Yu, Disa",Chong Xin Wei · Singapore Post : S08 -1.77% (SingPost): Former group chief executive Vincent Phang has resigned from his role as a non-executive...,2025-01-14,The Business Times,neutral,0.9367451667785645
https://www.straitstimes.com/business/companies-markets/siloam-international-hospitals-expresses-intent-to-acquire-first-reits-indonesia-hospital-portfolio,Siloam expresses intent to acquire First Reit’s Indonesia hospital portfolio,"Siloam is the existing operator and tenant of First Reit's hospital assets in Indonesia, including Siloam Hospitals Yogyakarta.",2025-01-14,The Straits Times,neutral,0.907455325126648
https://sbr.com.sg/commercial-property/news/first-reit-trusts-dpu-down-48-yoy-in-fy2024,First REIT Trust’s DPU down 4.8% YoY in FY2024,First REIT Trust's distribution per unit dropped 4.8% year-on-year to $0.0236 in FY2024.,2025-02-19,Singapore Business Review,negative,0.973655641078949
https://www.reitsweek.com/2025/02/first-reit-reports-4-8-fall-in-fy2024-amid-currency-headwinds.html,First REIT reports 4.8% fall in FY2024 amid currency headwinds,"ByShariffa Al-Habshee ... First REIT has announced a distribution per unit (DPU) of SGD 2.36 cents for the financial year ended 31 December 2024,...",2025-02-19,reitsweek,negative,0.9757459759712219
https://www.stocksbnb.com/reports/first-reit-a-buyer-for-indonesian-hospitals/,First REIT – A buyer for Indonesian hospitals,FIRT received a preliminary non-binding letter of intent (LOI) from PT Siloam International Hospitals Tbk (Siloam) to acquire FIRT's...,2025-01-16,StocksBNB,neutral,0.7094042897224426
https://realassets.ipe.com/news/cvc-backed-siloam-makes-offer-for-first-reits-indonesian-hospital-assets/10128150.article,CVC-backed Siloam makes offer for First REIT’s Indonesian hospital assets,CVC-backed Siloam makes offer for First REIT's Indonesian hospital assets ... Siloam International Hospitals has made an offer to First REIT to...,2025-01-14,IPE Real Assets,neutral,0.5416226387023926
https://drwealth.com/8-reits-trading-below-covid-lows-even-after-dividends-can-they-recover/,8 REITs Trading Below Covid Lows Even After Dividends: Can They Recover?,"One year ago, I remember myself quoting that REITs will be making a comeback. One year later, I think a lot has happened for me to backtrack...",2025-02-19,Dr Wealth,negative,0.8651095032691956
https://www.theedgesingapore.com/news/reits/first-reit-receives-loi-tenant-siloam-buy-hospitals-indonesia,First REIT receives LOI from tenant Siloam to buy hospitals in Indonesia,First REIT receives LOI from tenant Siloam to buy hospitals in Indonesia ... Follow us on Facebook and join our Telegram channel for the latest...,2025-01-13,The Edge Singapore,positive,0.6867961883544922
https://sbr.com.sg/commercial-property/news/first-reits-net-property-income-drops-60-yoy-in-9m-2024,First REIT's net property income drops 6.0% YoY in 9M 2024,First REIT's net property income drops 6.0% YoY in 9M 2024. The REIT attributed the decline to the yen and rupiah's depreciation against SGD.,2024-10-31,Singapore Business Review,negative,0.972515881061554
