link,title,snippet,date,source,sentiment,sentiment_score
https://www.businesstimes.com.sg/companies-markets/capitaland-investment-sells-4-9-stake-capitaland-ascott-trust-s162-million,CapitaLand Investment sells 4.9% stake in CapitaLand Ascott Trust for S$162 million,CapitaLand Investment sells 4.9% stake in CapitaLand Ascott Trust for S$162 million · CLI to acquire Australian credit investment manager...,2024-12-19,The Business Times,neutral,0.9490405917167664
https://www.capitaland.com/en/about-capitaland/newsroom/news-releases/international/2025/january/capitaland-ascott-trust-increases-2h-2024-gross-profit-by-8--fro.html,CapitaLand Ascott Trust increases 2H 2024 gross profit by 8% from stronger operating performance and acquisitions,CapitaLand Ascott Trust (CLAS) increased its 2H 2024 gross profit by 8% year-on-year (yoy) to S$198.0 million compared to 2H 2023.,2025-02-19,CapitaLand,positive,0.9512681365013123
https://sbr.com.sg/markets-investing/news/capitaland-ascott-trust-ceo-acquires-500000-more-shares,"CapitaLand Ascott Trust CEO acquires 500,000 more shares","CapitaLand Ascott Trust CEO acquires 500,000 more shares. Her stake in the company increased to 0.018%. CapitaLand Ascott Trust (CLAS) CEO...",2025-02-19,Singapore Business Review,neutral,0.9193251132965088
https://www.allenandgledhill.com/sg/perspectives/articles/29453/s-263-million-acquisition-of-lyf-funan-by-capitaland-ascott-real-estate-investment-trust,S$263 million acquisition of lyf Funan Singapore by CapitaLand Ascott Real Estate Investment Trust,S$263 million acquisition of lyf Funan Singapore by CapitaLand Ascott Real Estate Investment Trust.,2024-12-02,Allen & Gledhill,neutral,0.9318429827690125
https://www.mingtiandi.com/real-estate/finance/capitaland-ascott-trust-2h-2024-payout-falls-7/,Capitaland Ascott Trust 2H 2024 Payout Falls 7% Despite Revenue Uptick,Capitaland Ascott Trust 2H 2024 Payout Falls 7% Despite Revenue Uptick ... CapitaLand Ascott Trust's (CLAS) unitholders earned 7 percent less from...,2025-02-19,Mingtiandi,negative,0.9582550525665283
https://www.straitstimes.com/business/capitaland-ascott-trust-s-private-placement-priced-at-1043-preferential-offering-at-1025-apiece,"CapitaLand Ascott Trust’s private placement priced at $1.043, preferential offering at $1.025 apiece","CapitaLand Ascott Trust (Clas) will issue 191.8 million new stapled securities through a private placement at $1.043 apiece, and another 100.5 million through...",2024-11-15,The Straits Times,neutral,0.9440135359764099
https://www.theedgesingapore.com/news/reits/chairman-and-ceo-capitaland-ascott-trusts-manager-raise-stakes-trust,Chairman and CEO of CapitaLand Ascott Trust's manager raise stakes in the trust,Chairman and CEO of CapitaLand Ascott Trust's manager raise stakes in the trust ... Follow us on Facebook and join our Telegram channel for the...,2025-02-19,The Edge Singapore,neutral,0.9403776526451111
https://markets.businessinsider.com/news/stocks/capitaland-ascott-trust-is-the-only-lodging-trust-in-asia-pacific-included-in-the-s-p-global-sustainability-yearbook-2025-1034346645,CapitaLand Ascott Trust is the only lodging trust in Asia Pacific included in the S&P Global Sustainability Yearbook 2025,CapitaLand Ascott Trust (CLAS) is the only lodging trust in Asia Pacific to be included in the S&P Global Sustainability Yearbook 2025 as it makes its debut in...,2025-02-26,markets.businessinsider.com,neutral,0.9083914160728455
https://www.reitsweek.com/2025/02/capitaland-ascott-trust-acquires-two-hotels-in-japan-for-jpy21-billion-in-portfolio-shuffle.html,CapitaLand Ascott Trust acquires two hotels in Japan for JPY21 billion in portfolio shuffle,ByShariffa Al-Habshee ... Singapore-listed lodging REIT CapitaLand Ascott Trust (CLAS) announced on 31 January that it has acquired two freehold...,2025-02-19,reitsweek,neutral,0.8503389954566956
https://www.businesstimes.com.sg/companies-markets/capitaland-ascott-trust-posts-7-fall-h2-dps-s0-0355,CapitaLand Ascott Trust posts 7% fall in H2 DPS to S$0.0355,"The trust posting a 7 per cent fall in distribution per stapled security (DPS) to S$0.0355 for the second half ended Dec 31, 2024, from S$0.038 in the year-ago...",2025-02-19,The Business Times,negative,0.9752826690673828
https://www.straitstimes.com/business/companies-markets/capitaland-ascott-trust-posts-7-fall-in-second-half-dps-but-core-dps-rises-3,CapitaLand Ascott Trust posts 7% fall in second-half DPS but core DPS rises 3%,CapitaLand Ascott Trust (Clas) on Jan 27 posted a 7 per cent fall in distribution per stapled security (DPS) to 3.55 cents for the second half year ended Dec...,2025-02-19,The Straits Times,negative,0.9729035496711731
https://www.mingtiandi.com/real-estate/finance/capitaland-ascott-trust-adds-two-japanese-hotels-for-140m/,CapitaLand Ascott Trust Adds Two Japanese Hotels for $140M,"CapitaLand Ascott Trust is replenishing its portfolio in its third-largest market by asset value, announcing the purchase of two hotel properties in the...",2025-02-19,Mingtiandi,neutral,0.8310760855674744
https://www.businesstimes.com.sg/companies-markets/capitaland-ascott-trust-acquires-two-freehold-hotels-japan-21b-yen,CapitaLand Ascott Trust acquires two freehold hotels in Japan for 21b yen,Ranamita Chakraborty ... CAPITALAND Ascott Trust (Clas) : HMN 0% has acquired two freehold limited-service hotels in Japan – ibis Styles Tokyo...,2025-02-19,The Business Times,neutral,0.8494634628295898
https://www.straitstimes.com/business/senior-executive-of-capitaland-ascott-trust-in-australia-allegedly-stole-238-million,Executive in Australia allegedly stole $2.38m from Singapore’s CapitaLand Ascott Trust,"CapitaLand accused senior executive Lee Yongho of falsifying tax invoices to have the company pay more tax than required, then pocketing the refunds.",2024-09-20,The Straits Times,negative,0.7237889170646667
https://www.mingtiandi.com/real-estate/finance/goldman-buys-fukuoka-apartments-from-capitaland-ascott-trust/,Goldman Sachs Acquires Japan Apartments From CapitaLand Ascott Trust for $89M,Goldman Sachs Acquires Japan Apartments From CapitaLand Ascott Trust for $89M ... Goldman Sachs has expanded its Japanese multi-family portfolio...,2024-11-22,Mingtiandi,neutral,0.9161078333854675
https://www.businesstimes.com.sg/companies-markets/stocks-watch-sembcorp-sats-capitaland-ascott-trust-raffles-medical,"Stocks to watch: Sembcorp, Sats, CapitaLand Ascott Trust, Raffles Medical",Sembcorp's share purchase agreement with CleanCurrent Renewable Energy in the Philippines to acquire Puente Al Sol marks its entry into the country's renewable...,2025-02-19,The Business Times,neutral,0.9505003690719604
