link,title,snippet,date,source,sentiment,sentiment_score
https://www.businesstimes.com.sg/companies-markets/mapletree-industrial-trust-posts-1-5-rise-q3-dpu-s0-0341,Mapletree Industrial Trust posts 1.5% rise in Q3 DPU to S$0.0341,Tan Nai Lun ... THE distribution per unit (DPU) for Mapletree Industrial Trust : ME8U +0.96% (MIT) rose 1.5 per cent to S$0.0341 for its third...,2025-02-19,The Business Times,positive,0.9448089599609375
https://drwealth.com/mapletree-industrial-drops-3-after-jpmorgan/,Mapletree Industrial Drops 3% After JPMorgan Downgrade—Time to Worry?,"As if the current plight of REITs wasn't bad enough, JPMorgan analysts added insult to injury by downgrading Mapletree Industrial Trust...",2025-02-19,Dr Wealth,negative,0.9455739259719849
https://thesmartinvestor.com.sg/better-buy-mapletree-industrial-trust-vs-mapletree-logistics-trust/,Better Buy: Mapletree Industrial Trust Vs Mapletree Logistics Trust,"The winner for this round is MIT as its sister REIT, MLT, is mired in troubles that are depressing its DPU and causing portfolio rental reversions to turn...",2024-12-09,The Smart Investor,neutral,0.8365224003791809
https://www.reitsweek.com/2025/03/mapletree-industrial-trust-sees-sgd35-4-million-outflow-of-institutional-funds-amid-tech-sell-off.html,Mapletree Industrial Trust sees SGD35.4 million outflow of institutional funds amid tech sell-off,Mapletree Industrial Trust (MIT) was the top Singapore Exchange (SGX)-listed REIT disposed of by institutional investors last week as the...,2025-03-05,reitsweek,negative,0.9406970739364624
https://growbeansprout.com/weekly-market-review-10-mar-2025,Mapletree Industrial Trust and Frasers Logistics & Commercial Trust in focus: Weekly Review with SIAS,We share about Mapletree Industrial Trust and Frasers Logistics & Commercial Trust in the latest Weekly Market Review.,2025-03-12,Beansprout,neutral,0.9420912861824036
https://www.tipranks.com/news/company-announcements/mapletree-industrial-trust-secures-new-sustainability-linked-facility,Mapletree Industrial Trust Secures New Sustainability-Linked Facility,"Mapletree Industrial ( ($SG:ME8U) ) has issued an update. Mapletree Industrial Trust Management Ltd. has announced that DBS Trustee Limited,...",2025-03-15,TipRanks,positive,0.9171027541160583
https://www.straitstimes.com/business/mapletree-industrial-trust-buys-osaka-data-centre-for-5079m-to-raise-200m-via-new-units,"Mapletree Industrial Trust buys Osaka data centre for $503.8m, to raise $200m via new units","Mapletree Industrial Trust (MIT) is acquiring a new data centre in downtown Osaka, Japan, for 52 billion yen (S$503.8 million).",2024-11-21,The Straits Times,positive,0.6962358355522156
https://sbr.com.sg/residential-property/news/mapletree-industrial-trust-dpu-15-in-q3,Mapletree Industrial Trust DPU up by 1.5% in Q3,Mapletree Industrial Trust (MIT) reported a 1.5% year-on-year (YoY) increase in distribution per unit (DPU) to $0.0341 for the third quarter...,2025-02-19,Singapore Business Review,positive,0.9529931545257568
https://www.investing.com/news/analyst-ratings/jpmorgan-cuts-mapletree-industrial-trust-stock-rating-to-underweight-93CH-3859751,JPMorgan cuts Mapletree Industrial Trust stock rating to underweight,"JPMorgan analysts issued a downgrade for Mapletree Industrial Trust (MINT:SP) (OTC: MAPIF) shares, moving from an 'Overweight' rating to 'Underweight.",2025-02-19,Investing.com,negative,0.9209076166152954
https://finance.yahoo.com/news/mapletree-industrial-trust-sgx-me8u-120431332.html,Mapletree Industrial Trust (SGX:ME8U) Q3 2025: Everything You Need To Know Ahead Of Earnings,"Mapletree Industrial Trust (SGX:ME8U) is set to release its Q3 2025 earnings on January 22, 2025. The consensus estimate for Q3 2025 revenue...",2025-01-21,Yahoo Finance,neutral,0.9451014399528503
